Epoch,Train Loss,MSE,MAE,RMSE,MAPE,Pearson Coeff,R2
1,0.2033130646090616,0.16568635707285176,0.3467191755771637,0.4182145595550537,63.37481737136841,-0.20388470673883644,-0.11040052119150401
2,0.17576742682351984,0.17242928838079913,0.3389226496219635,0.4164761006832123,54.57257032394409,0.026785154749020792,-0.1011880965034726
3,0.17050319180231202,0.16259621301705532,0.34461042284965515,0.4133974313735962,63.13385367393494,-0.20967950068058272,-0.08496778188809473
4,0.17051164529878984,0.18623520330862797,0.3355860710144043,0.4257988929748535,47.547248005867004,0.236251786905788,-0.15103997495003707
5,0.166962477971207,0.16113358434844524,0.33027875423431396,0.40018266439437866,59.55333113670349,0.026628137211054066,-0.01671191020067364
6,0.1747784345156767,0.1700572337400406,0.33925995230674744,0.4175599217414856,56.103599071502686,-0.17236779778774877,-0.1069268527005851
7,0.16242606473917312,0.1742616225271783,0.33885645866394043,0.41410884261131287,52.76615619659424,0.14310030236863303,-0.08870544155612148
8,0.16566511729562824,0.17397681337365128,0.3343292474746704,0.4145621955394745,52.35334634780884,0.11431797666468706,-0.09109039060312307
9,0.17095796139910818,0.21860510830153176,0.3698720633983612,0.4663544297218323,49.117881059646606,0.15818854864199686,-0.3807450395813663
10,0.1712005493146452,0.15808243399604838,0.3219534158706665,0.3941485285758972,55.520397424697876,0.07863056490202076,0.013718017799237092
11,0.16222889749333264,0.1585091361379687,0.3341367542743683,0.40163058042526245,60.4311466217041,-0.1327935893794194,-0.024082237467525802
12,0.16879081783646888,0.1573168057948351,0.32747605443000793,0.3975304067134857,57.042354345321655,-0.07157053458065996,-0.003279811004734512
13,0.1638850313526663,0.15942591618984303,0.3297750949859619,0.39925622940063477,62.895554304122925,0.025717536675278235,-0.012009772741528257
14,0.1573516184464097,0.15703603419217657,0.3243403732776642,0.3918292224407196,58.78676772117615,0.16032824579422408,0.025290938430358234
15,0.16190309879920362,0.1572184231766361,0.325582355260849,0.3936421871185303,57.371944189071655,0.09186255299856587,0.016250294631264817
16,0.16515958584337073,0.15989923041234624,0.33227604627609253,0.4035431444644928,59.41077470779419,-0.21085744043478355,-0.03385887996828685
17,0.1623862696980888,0.17738151065807076,0.34039270877838135,0.4213094413280487,51.78564190864563,0.01667738688906009,-0.12689558189436467
18,0.16145590708421712,0.15904857701760658,0.3217068612575531,0.39193952083587646,56.98215365409851,0.17886931505820938,0.0247422490365814
19,0.165291887242347,0.1565763902791003,0.3240169584751129,0.3925148546695709,58.557772636413574,0.12945154962508756,0.021876821085333398
20,0.16419719486412676,0.1577343993443758,0.3231196403503418,0.3933301270008087,61.23340725898743,0.12748324544841236,0.01780940664654751
21,0.15652185160328042,0.1753851359591205,0.3339908719062805,0.41500523686408997,50.514668226242065,0.17252623705516215,-0.09342366379968703
22,0.16336948316205632,0.16395805613633166,0.3253784477710724,0.3988455832004547,52.513664960861206,0.16059127422299715,-0.009928994497516275
23,0.15699435299770398,0.16068864617734513,0.3345755338668823,0.4042407274246216,58.47358703613281,-0.10651375982566452,-0.0374362825452661
24,0.1617720956575464,0.1615617273652807,0.33525845408439636,0.4040740430355072,62.76124715805054,-0.276808404697546,-0.036581050650822844
25,0.16206172231415455,0.17778872425093295,0.32757386565208435,0.4137536883354187,49.33401048183441,0.12427523297348236,-0.08683869053056359
26,0.16056532753970135,0.17518758108007146,0.34865516424179077,0.42131873965263367,68.61822009086609,-0.0070863269952931044,-0.12694520617498073
27,0.1631304707716812,0.15873387919619997,0.32227540016174316,0.3949818015098572,54.701316356658936,0.07239186873120562,0.009543412680428465
28,0.1600477748973803,0.1930953325862263,0.34550097584724426,0.43912410736083984,48.97442162036896,-0.02259908614432977,-0.224209891933969
29,0.16864779387516055,0.17429639794368376,0.33700284361839294,0.41486456990242004,51.88300013542175,0.09813672411033328,-0.09268235945562742
30,0.15994313680990177,0.16783814060878247,0.3247852325439453,0.4060235619544983,54.17212247848511,0.08149863635153581,-0.04660730347735531
